A	T_merge	T_heap
[11, 8, 5, 0, 4, 16, 18, 19, 21, 23, 29, 28, 20, 17, 1]	8.000000000008e-06	8.000000000008e-06
[17, 9, 21, 7, 6, 0, 26, 2, 29, 23, 22, 28, 8, 20, 15]	8.999999999925734e-06	1.0999999999983245e-05
[25, 6, 23, 13, 1, 9, 17, 27, 11, 29, 18, 0, 19, 2, 21]	1.5000000000098268e-05	1.0000000000065512e-05
[24, 15, 12, 23, 6, 9, 5, 2, 13, 21, 28, 0, 3, 27, 16]	1.4000000000180535e-05	2.300000000010627e-05
[24, 7, 17, 27, 26, 9, 29, 28, 20, 1, 22, 25, 0, 6, 15]	1.2000000000123023e-05	5.999999999950489e-06
[3, 13, 21, 22, 9, 26, 11, 29, 12, 18, 27, 14, 6, 5, 20]	8.000000000008e-06	8.000000000008e-06
[11, 12, 17, 18, 29, 21, 16, 7, 23, 22, 4, 28, 14, 15, 5]	8.000000000008e-06	1.399999999995849e-05
[15, 6, 11, 13, 22, 20, 16, 19, 18, 14, 9, 2, 27, 23, 26]	9.999999999843467e-06	1.1999999999900979e-05
[25, 13, 1, 0, 10, 16, 3, 7, 26, 24, 20, 5, 15, 23, 14]	9.000000000147779e-06	1.2000000000123023e-05
[29, 17, 20, 9, 22, 15, 1, 10, 18, 0, 24, 7, 11, 28, 4]	1.0000000000065512e-05	1.5000000000098268e-05
[13, 14, 19, 0, 5, 10, 7, 8, 25, 15, 3, 26, 17, 1, 24]	1.4999999999876223e-05	1.0000000000065512e-05
[13, 26, 5, 9, 11, 29, 14, 3, 19, 6, 28, 24, 25, 22, 7]	8.999999999925734e-06	9.000000000147779e-06
[19, 0, 4, 29, 16, 13, 24, 22, 26, 9, 1, 20, 25, 2, 14]	9.999999999843467e-06	1.3000000000040757e-05
[28, 17, 5, 19, 15, 8, 18, 9, 0, 13, 16, 3, 27, 1, 22]	8.000000000008e-06	1.3000000000040757e-05
[3, 22, 4, 26, 23, 6, 0, 24, 29, 18, 11, 12, 27, 14, 15]	5.999999999950489e-06	8.000000000008e-06
[5, 15, 20, 1, 26, 11, 8, 4, 24, 12, 6, 0, 2, 3, 16]	1.6000000000016e-05	8.000000000008e-06
[11, 4, 15, 7, 5, 6, 18, 13, 16, 23, 22, 1, 10, 26, 3]	1.5000000000098268e-05	1.4999999999876223e-05
[6, 28, 21, 20, 13, 1, 29, 7, 0, 26, 18, 5, 24, 8, 4]	1.399999999995849e-05	6.999999999868223e-06
[8, 25, 19, 10, 15, 23, 11, 3, 27, 29, 1, 14, 2, 7, 12]	1.0000000000065512e-05	1.6000000000016e-05
[18, 11, 2, 5, 7, 6, 1, 0, 20, 29, 15, 24, 12, 27, 9]	1.6000000000016e-05	8.999999999925734e-06
[21, 6, 24, 9, 13, 18, 28, 8, 16, 29, 10, 11, 25, 17, 23]	1.0999999999983245e-05	8.000000000008e-06
[7, 10, 16, 13, 6, 3, 18, 9, 25, 29, 14, 24, 17, 27, 15]	9.999999999843467e-06	8.999999999925734e-06
[2, 3, 22, 15, 16, 1, 9, 11, 26, 24, 6, 23, 10, 17, 14]	1.3000000000040757e-05	9.999999999843467e-06
[7, 24, 16, 20, 11, 18, 25, 1, 15, 23, 0, 4, 26, 27, 9]	1.4000000000180535e-05	1.4999999999876223e-05
[8, 20, 27, 16, 7, 0, 24, 2, 14, 25, 28, 11, 3, 15, 12]	1.399999999995849e-05	1.0000000000065512e-05
[21, 28, 16, 27, 8, 26, 23, 2, 0, 11, 10, 13, 20, 1, 18]	1.0999999999983245e-05	9.000000000147779e-06
[19, 14, 3, 13, 12, 7, 9, 11, 21, 4, 5, 16, 23, 29, 0]	9.999999999843467e-06	9.999999999843467e-06
[7, 10, 12, 14, 11, 17, 28, 1, 27, 26, 16, 20, 29, 23, 19]	1.4000000000180535e-05	2.0999999999826713e-05
[7, 18, 24, 8, 1, 23, 10, 12, 22, 14, 15, 11, 17, 21, 13]	1.5000000000098268e-05	8.000000000008e-06
[18, 2, 16, 28, 13, 8, 20, 17, 10, 11, 27, 26, 23, 1, 22]	8.999999999925734e-06	7.000000000090267e-06
[12, 20, 0, 11, 6, 29, 10, 27, 1, 21, 19, 9, 7, 13, 14]	1.700000000015578e-05	2.2999999999884224e-05
[10, 26, 24, 9, 5, 19, 7, 18, 22, 23, 14, 6, 11, 15, 21]	1.399999999995849e-05	1.0000000000065512e-05
[28, 16, 15, 12, 18, 22, 29, 4, 20, 27, 1, 26, 24, 7, 6]	1.5000000000098268e-05	1.0000000000065512e-05
[16, 12, 11, 22, 13, 3, 10, 14, 9, 7, 26, 19, 27, 6, 28]	1.3000000000040757e-05	1.3000000000040757e-05
[29, 3, 18, 16, 6, 23, 21, 28, 25, 19, 15, 17, 24, 14, 27]	1.0999999999983245e-05	1.399999999995849e-05
[4, 5, 0, 9, 27, 2, 12, 25, 13, 29, 21, 26, 11, 20, 23]	1.6000000000016e-05	1.3000000000040757e-05
[5, 25, 19, 16, 4, 1, 6, 26, 29, 22, 0, 21, 27, 3, 15]	1.0999999999983245e-05	1.3000000000040757e-05
[7, 1, 16, 2, 18, 11, 21, 14, 26, 8, 23, 20, 25, 24, 27]	3.300000000017178e-05	1.8999999999991246e-05
[10, 1, 22, 29, 14, 21, 4, 16, 13, 20, 18, 6, 7, 26, 27]	1.0000000000065512e-05	8.999999999925734e-06
[12, 6, 13, 26, 16, 29, 3, 1, 19, 4, 18, 23, 14, 22, 8]	1.5000000000098268e-05	1.399999999995849e-05
[1, 6, 20, 21, 13, 27, 8, 12, 18, 3, 15, 10, 2, 24, 26]	3.100000000011427e-05	1.399999999995849e-05
[12, 27, 8, 7, 22, 18, 14, 19, 5, 4, 23, 24, 10, 1, 29]	1.5000000000098268e-05	1.399999999995849e-05
[6, 1, 9, 14, 23, 13, 2, 27, 4, 26, 18, 19, 17, 12, 11]	1.2000000000123023e-05	1.6999999999933735e-05
[8, 4, 20, 15, 1, 28, 0, 26, 18, 25, 14, 9, 6, 12, 23]	1.6999999999933735e-05	1.6000000000016e-05
[7, 8, 24, 6, 23, 15, 22, 17, 20, 3, 10, 14, 0, 18, 11]	1.8999999999991246e-05	1.399999999995849e-05
