	A	len	T_insertion	T_quick	T_merge	T_heap
133	[7, 12, 14, 10, 17, 19, 5, 18, 2, 3]	10	3.2000000000032e-05	2.000000000279556e-06	3.9999999996709334e-06	2.000000000279556e-06
134	[5, 17, 18, 10, 8, 14, 16, 2, 11, 3]	10	2.000000000279556e-06	0.0	1.000000000139778e-06	0.0
135	[14, 4, 17, 6, 3, 11, 0, 13, 1, 18]	10	2.000000000279556e-06	2.000000000279556e-06	0.0	1.000000000139778e-06
136	[7, 17, 10, 16, 4, 19, 0, 13, 1, 3]	10	0.0	0.0	2.000000000279556e-06	1.000000000139778e-06
137	[18, 15, 19, 12, 11, 1, 3, 16, 5, 10]	10	9.999999992515995e-07	0.0	0.0	1.000000000139778e-06
138	[16, 4, 14, 2, 6, 8, 0, 3, 18, 5]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	2.000000000279556e-06
139	[19, 13, 8, 12, 6, 0, 7, 15, 16, 1]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
140	[12, 8, 14, 4, 0, 9, 3, 6, 1, 7]	10	2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06	0.0
141	[1, 16, 0, 2, 17, 19, 3, 14, 11, 13]	10	1.9999999993913775e-06	0.0	1.000000000139778e-06	0.0
142	[17, 14, 19, 7, 10, 11, 18, 12, 9, 1]	10	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06	0.0
143	[7, 3, 1, 13, 9, 0, 5, 18, 10, 6]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	9.999999992515995e-07
144	[4, 14, 0, 11, 19, 8, 7, 9, 17, 2]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	9.999999992515995e-07
145	[12, 5, 11, 16, 3, 6, 8, 10, 13, 14]	10	2.000000000279556e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
146	[10, 1, 19, 9, 6, 2, 16, 14, 11, 13]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	0.0
147	[10, 11, 4, 16, 13, 15, 14, 2, 18, 3]	10	9.999999992515995e-07	0.0	1.000000000139778e-06	0.0
148	[17, 12, 3, 18, 14, 9, 19, 2, 13, 11]	10	0.0	0.0	2.000000000279556e-06	1.000000000139778e-06
149	[5, 15, 4, 14, 7, 13, 17, 2, 1, 8]	10	9.999999992515995e-07	1.000000000139778e-06	0.0	1.000000000139778e-06
150	[18, 2, 12, 8, 4, 15, 14, 3, 10, 13]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
151	[16, 14, 15, 8, 9, 4, 11, 13, 6, 19]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06
152	[6, 16, 13, 2, 19, 7, 18, 0, 9, 12]	10	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06	0.0
153	[0, 16, 7, 19, 13, 15, 6, 8, 1, 14]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06
154	[4, 19, 15, 8, 6, 17, 7, 3, 13, 5]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06
155	[13, 17, 2, 12, 6, 11, 19, 0, 16, 3]	10	9.999999992515995e-07	2.000000000279556e-06	0.0	1.000000000139778e-06
156	[15, 19, 8, 11, 16, 2, 9, 7, 17, 5]	10	2.000000000279556e-06	1.000000000139778e-06	1.9999999993913775e-06	0.0
157	[7, 15, 4, 6, 16, 3, 14, 1, 12, 10]	10	0.0	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06
158	[5, 17, 4, 8, 6, 14, 10, 11, 2, 15]	10	2.000000000279556e-06	9.999999992515995e-07	0.0	0.0
159	[11, 0, 9, 13, 5, 10, 18, 4, 14, 7]	10	0.0	0.0	2.000000000279556e-06	1.000000000139778e-06
160	[0, 12, 9, 14, 15, 19, 13, 18, 7, 8]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
161	[13, 10, 7, 12, 1, 5, 2, 16, 3, 14]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
162	[8, 13, 14, 12, 5, 18, 3, 6, 4, 17]	10	2.000000000279556e-06	2.000000000279556e-06	0.0	0.0
163	[2, 16, 19, 10, 0, 14, 13, 15, 11, 5]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
164	[1, 7, 11, 5, 16, 14, 4, 13, 18, 10]	10	0.0	0.0	0.0	2.000000000279556e-06
165	[17, 16, 15, 18, 14, 10, 9, 13, 0, 4]	10	1.9999999993913775e-06	1.000000000139778e-06	0.0	2.000000000279556e-06
166	[18, 7, 4, 16, 19, 12, 1, 10, 9, 6]	10	1.000000000139778e-06	1.9999999993913775e-06	0.0	0.0
167	[13, 1, 9, 3, 19, 16, 10, 17, 0, 15]	10	0.0	0.0	1.000000000139778e-06	0.0
168	[7, 14, 10, 5, 13, 6, 15, 18, 17, 12]	10	0.0	0.0	1.9999999993913775e-06	1.000000000139778e-06
169	[5, 18, 9, 15, 17, 2, 10, 14, 4, 1]	10	1.9999999993913775e-06	1.000000000139778e-06	0.0	2.000000000279556e-06
170	[9, 4, 18, 15, 12, 11, 10, 7, 19, 16]	10	1.9999999993913775e-06	1.000000000139778e-06	1.000000000139778e-06	0.0
171	[17, 3, 19, 1, 8, 16, 14, 4, 5, 11]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	1.000000000139778e-06
